"Дата операции";"Дата платежа";"Номер карты";"Статус";"Сумма операции";"Валюта операции";"Сумма платежа";"Валюта платежа";"Кэшбэк";"Категория";"MCC";"Описание";"Бонусы (включая кэшбэк)";"Округление на инвесткопилку";"Сумма операции с округлением"
"14.04.2026 15:22:10";"14.04.2026";"*4521";"OK";"1490,50";"RUB";"1490,50";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"1490,50"
"14.04.2026 15:22:09";"14.04.2026";"*7890";"OK";"-1490,50";"RUB";"-1490,50";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-1490,50"
"14.04.2026 12:05:33";"14.04.2026";"*4521";"OK";"-350,00";"RUB";"-350,00";"RUB";"3,00";"Фастфуд";"5814";"Burger King";"3,00";"0,00";"-350,00"
"14.04.2026 12:03:41";"14.04.2026";"*7890";"OK";"350,00";"RUB";"350,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"350,00"
"14.04.2026 12:03:40";"14.04.2026";"*4521";"OK";"-350,00";"RUB";"-350,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-350,00"
"13.04.2026 18:47:22";"13.04.2026";"*3456";"OK";"-1240,00";"RUB";"-1240,00";"RUB";"12,00";"Супермаркеты";"5411";"Пятёрочка";"12,00";"0,00";"-1240,00"
"13.04.2026 18:46:59";"13.04.2026";"*7890";"OK";"1240,00";"RUB";"1240,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"1240,00"
"13.04.2026 18:46:58";"13.04.2026";"*3456";"OK";"-1240,00";"RUB";"-1240,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-1240,00"
"12.04.2026 09:15:04";"12.04.2026";"*4521";"OK";"5000,00";"RUB";"5000,00";"RUB";"";"Переводы";"";"Владимир К.";"0,00";"0,00";"5000,00"
"11.04.2026 20:30:17";"11.04.2026";"*7890";"OK";"-85,00";"RUB";"-85,00";"RUB";"";"Местный транспорт";"4111";"Мосгортранс";"0,00";"0,00";"-85,00"
"11.04.2026 20:29:55";"11.04.2026";"*4521";"OK";"85,00";"RUB";"85,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"85,00"
"11.04.2026 20:29:54";"11.04.2026";"*7890";"OK";"-85,00";"RUB";"-85,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-85,00"
"10.04.2026 16:12:38";"10.04.2026";"*3456";"OK";"-2790,00";"RUB";"-2790,00";"RUB";"27,00";"Авиабилеты";"3000";"S7 Airlines";"27,00";"0,00";"-2790,00"
"10.04.2026 16:11:12";"10.04.2026";"*7890";"OK";"2800,00";"RUB";"2800,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"2800,00"
"10.04.2026 16:11:11";"10.04.2026";"*3456";"OK";"-2800,00";"RUB";"-2800,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-2800,00"
"09.04.2026 22:05:41";"09.04.2026";"";"OK";"34,92";"RUB";"34,92";"RUB";"";"Проценты";"";"Проценты на остаток";"0,00";"0,00";"34,92"
"08.04.2026 14:10:03";"08.04.2026";"*4521";"OK";"-675,00";"RUB";"-675,00";"RUB";"6,00";"Заправки";"5541";"Лукойл";"6,00";"0,00";"-675,00"
"08.04.2026 14:09:11";"08.04.2026";"*7890";"OK";"680,00";"RUB";"680,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"680,00"
"08.04.2026 14:09:10";"08.04.2026";"*4521";"OK";"-680,00";"RUB";"-680,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-680,00"
"07.04.2026 11:22:57";"07.04.2026";"*7890";"OK";"2100,00";"RUB";"2100,00";"RUB";"";"Переводы";"";"Алексей Р.";"0,00";"0,00";"2100,00"
"06.04.2026 19:33:18";"06.04.2026";"*3456";"OK";"-465,90";"RUB";"-465,90";"RUB";"4,00";"Цифровые товары";"5816";"Google Play";"4,00";"0,00";"-465,90"
"06.04.2026 19:32:50";"06.04.2026";"*7890";"OK";"466,00";"RUB";"466,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"466,00"
"06.04.2026 19:32:49";"06.04.2026";"*3456";"OK";"-466,00";"RUB";"-466,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-466,00"
"05.04.2026 15:47:39";"05.04.2026";"*7890";"OK";"120,00";"RUB";"120,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"120,00"
"05.04.2026 15:47:38";"05.04.2026";"*4521";"OK";"-120,00";"RUB";"-120,00";"RUB";"";"Переводы";"";"Между своими счетами";"0,00";"0,00";"-120,00"
